#{"t_start": 1755100686.0050862, "env_id": "None"}
r,l,t
392.788522,100,228.034418
761.343448,100,228.412391
970.883137,100,228.780874
4.310466,100,229.183394
3.917803,100,229.57546
6.192883,100,229.989255
412.583166,100,230.388822
253.17021,100,231.629519
124.668208,100,232.042454
3.507946,100,232.436358
3.275335,100,232.831156
155.069621,100,233.215797
2.285279,100,233.608392
921.048011,100,233.984663
741.07345,100,234.375983
4.523699,100,234.767078
1.397989,100,235.132836
820.773877,100,235.499141
802.640514,100,235.868096
1.256314,100,236.250614
1.63118,100,236.627923
721.21195,100,236.997539
0.529162,100,237.364113
3.224844,100,237.748369
542.313905,100,238.112212
940.410611,100,238.458831
3.319937,100,238.840681
652.112798,100,239.98558
2.288924,100,240.340994
880.326124,100,240.69109
1.031964,100,241.040938
930.364245,100,241.389706
980.732894,100,241.747637
4.250245,100,242.125714
820.72218,100,242.486086
2.295239,100,242.843992
653.125547,100,243.204033
95.339648,100,243.588212
631.604997,100,243.946449
842.033979,100,244.296082
1.808467,100,244.644636
4.351311,100,245.014336
1.221163,100,245.364678
44.382179,100,245.737309
542.371365,100,246.110129
960.195723,100,246.512947
133.420127,100,246.903317
931.511863,100,248.129126
6.128902,100,248.515656
4.392897,100,248.89231
0.71578,100,249.244676
890.670236,100,249.595404
5.740754,100,249.980431
1.043844,100,250.337275
931.09507,100,250.692428
3.895263,100,251.08942
23.358676,100,251.452249
2.693216,100,251.829525
931.040161,100,252.188068
891.533763,100,252.53072
7.081985,100,252.886997
970.246261,100,253.231333
1.593963,100,253.57485
900.697106,100,253.938161
3.50699,100,254.323969
920.455678,100,254.674078
4.494938,100,255.066432
692.870052,100,255.458726
10.607357,100,256.713344
3.418974,100,257.085788
690.855326,100,257.429246
323.95186,100,257.808819
31.138934,100,258.170301
2.264255,100,258.535497
601.66287,100,258.897338
522.036676,100,259.255361
4.31232,100,259.605433
0.764634,100,259.946015
25.501672,100,260.310924
3.101813,100,260.691412
3.529654,100,261.067546
742.821036,100,261.438708
3.544739,100,261.804148
821.486948,100,262.146764
2.829583,100,262.537528
900.503267,100,262.925665
5.367247,100,263.283798
681.651493,100,263.642717
3.469393,100,264.843939
900.974241,100,265.194969
3.429396,100,265.582619
3.621911,100,265.96287
850.469968,100,266.328477
4.133934,100,266.692611
5.727973,100,267.068729
1.752824,100,270.796852
880.750057,100,271.162918
790.97091,100,271.515691
2.517637,100,271.864073
3.078021,100,272.218048
612.722115,100,272.595003
7.33093,100,272.971745
423.370942,100,273.32817
342.833426,100,273.691812
271.952507,100,274.054152
2.458902,100,274.402788
5.413404,100,274.78389
13.780885,100,275.153389
631.430053,100,275.504372
4.306265,100,276.810082
7.13675,100,277.22236
8.682677,100,277.630469
731.015813,100,277.988641
2.124468,100,278.344162
3.153951,100,278.74658
910.477889,100,279.16519
810.910203,100,279.569747
821.669074,100,279.936396
421.658814,100,280.35502
6.711072,100,280.787542
920.41014,100,281.16332
463.316613,100,281.529733
213.466012,100,281.911686
840.527962,100,282.299262
0.702387,100,282.663439
163.734703,100,283.088664
535.195091,100,283.491699
521.444499,100,283.875158
2.292761,100,284.247634
1.927383,100,285.531307
771.3514,100,285.91386
890.442818,100,286.311154
215.640831,100,286.713786
395.562831,100,287.144954
691.161367,100,287.53557
940.408115,100,287.903747
960.511532,100,288.280684
711.675208,100,288.725913
1.14659,100,289.140007
921.286725,100,289.55092
514.298276,100,289.977114
851.384604,100,290.395141
870.887534,100,290.796654
1.789722,100,291.205452
3.643857,100,291.640388
0.586239,100,292.043445
662.974617,100,292.47354
403.162413,100,292.890625
871.764437,100,293.300016
262.106824,100,293.716835
940.695281,100,294.977411
562.73183,100,295.334059
1.489711,100,295.701077
444.156151,100,296.123811
3.393212,100,296.508152
2.345131,100,296.898916
801.307551,100,297.299714
542.948336,100,297.717367
5.394431,100,298.157625
133.372037,100,298.573323
2.038243,100,298.929232
751.885451,100,299.286881
1.152261,100,299.635968
831.250612,100,299.990895
861.624952,100,300.341037
1.429477,100,300.710391
95.322567,100,301.142946
940.744663,100,301.552737
2.654282,100,301.9813
1.663493,100,302.379663
931.426331,100,303.692632
30.925397,100,304.081149
950.370958,100,304.481832
870.575721,100,304.863527
4.499498,100,305.252765
572.852228,100,305.631249
4.104292,100,306.012213
473.669831,100,306.389665
682.216756,100,306.752029
622.210065,100,307.116488
3.92046,100,307.500188
203.648973,100,307.882678
1.650536,100,308.238618
2.034504,100,308.596915
1.139625,100,308.969836
5.053461,100,309.352698
6.886796,100,309.738678
4.865827,100,310.1184
1.394171,100,310.477191
522.391662,100,310.837453
662.217994,100,311.201548
921.266898,100,312.372495
880.641155,100,312.731672
2.074195,100,313.144879
5.379104,100,313.575513
761.003287,100,317.25372
3.543618,100,317.602704
422.351252,100,317.961107
780.312855,100,318.305198
791.288349,100,318.656832
741.248204,100,319.053014
282.799887,100,319.482829
950.433822,100,319.899262
551.813395,100,320.318766
522.105953,100,320.742893
920.910243,100,321.14094
711.366483,100,321.54515
671.541914,100,321.953454
652.551656,100,322.359147
4.562917,100,322.723697
881.255021,100,323.063465
1.823206,100,324.249991
3.506923,100,324.631656
2.737837,100,324.994536
3.151705,100,325.370075
401.745291,100,325.73071
771.607672,100,326.084637
850.535472,100,326.429308
621.94505,100,326.789254
880.826039,100,327.153261
1.558373,100,327.50187
940.25009,100,327.838915
2.783735,100,328.198659
670.705557,100,328.541492
1.874203,100,328.890951
960.564316,100,329.232041
432.59418,100,329.592446
561.83006,100,329.942627
861.171675,100,330.294677
1.775531,100,330.637028
4.450663,100,331.016615
970.336456,100,331.380338
5.808671,100,332.583153
930.922913,100,332.934163
612.274826,100,333.284599
710.874693,100,333.636322
940.577742,100,333.984515
100.581749,100,334.327903
332.763014,100,334.688874
930.304,100,335.04233
681.534822,100,335.387908
960.321717,100,335.744871
841.077989,100,336.086854
711.834426,100,336.439907
412.92338,100,336.79193
601.968451,100,337.149139
0.428435,100,337.490263
641.517377,100,337.841505
33.97994,100,338.222213
